province,date,year_month,co2_tonnes,source_file
Anhui,2019-01-01,2019-01,35564811.440000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-02-01,2019-02,27778383.370000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-03-01,2019-03,34959657.290000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-04-01,2019-04,34037062.720000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-05-01,2019-05,35048368.800000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-06-01,2019-06,36373004.740000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-07-01,2019-07,39580323.390000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-08-01,2019-08,40309666.420000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-09-01,2019-09,36150889.100000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-10-01,2019-10,34751671.990000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-11-01,2019-11,36016345.370000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2019-12-01,2019-12,39979752.840000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-01-01,2020-01,27611580.100000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-02-01,2020-02,27483884.260000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-03-01,2020-03,33086792.430000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-04-01,2020-04,33318943.980000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-05-01,2020-05,35533561.390000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-06-01,2020-06,35410087.400000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-07-01,2020-07,34523572.910000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-08-01,2020-08,40601916.650000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-09-01,2020-09,36999367.320000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-10-01,2020-10,35600658.230000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-11-01,2020-11,37752667.990000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2020-12-01,2020-12,42922693.780000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-01-01,2021-01,34939361.490000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-02-01,2021-02,26648580.970000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-03-01,2021-03,35469213.700000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-04-01,2021-04,33093386.150000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-05-01,2021-05,34176061.300000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-06-01,2021-06,35328809.610000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-07-01,2021-07,36724807.950000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-08-01,2021-08,37108488.100000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-09-01,2021-09,34507163.930000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-10-01,2021-10,33346233.850000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-11-01,2021-11,33983584.390000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2021-12-01,2021-12,37422714.370000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-01-01,2022-01,41224651.170000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-02-01,2022-02,30230393.180000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-03-01,2022-03,37266051.840000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-04-01,2022-04,32359244.100000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-05-01,2022-05,35330980.700000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-06-01,2022-06,37812748.910000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-07-01,2022-07,41000363.940000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-08-01,2022-08,43775928.700000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-09-01,2022-09,36100780.300000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-10-01,2022-10,36571166.160000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-11-01,2022-11,35419438.220000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2022-12-01,2022-12,38920799.390000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-01-01,2023-01,35742760.750000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-02-01,2023-02,32324675.850000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-03-01,2023-03,38749901.660000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-04-01,2023-04,35761872.040000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-05-01,2023-05,38096696.890000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-06-01,2023-06,39498729.080000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-07-01,2023-07,43298626.420000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-08-01,2023-08,43007898.090000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-09-01,2023-09,38581818.620000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-10-01,2023-10,37730647.480000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-11-01,2023-11,38561071.770000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2023-12-01,2023-12,42053673.880000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-01-01,2024-01,41067218.520000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-02-01,2024-02,34645677.050000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-03-01,2024-03,38575715.850000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-04-01,2024-04,34750442.730000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-05-01,2024-05,36191825.470000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-06-01,2024-06,38303036.960000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-07-01,2024-07,41615008.120000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-08-01,2024-08,43406170.190000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-09-01,2024-09,38566965.500000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-10-01,2024-10,35333534.290000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-11-01,2024-11,36869331.330000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2024-12-01,2024-12,40554960.240000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-01-01,2025-01,33978169.080000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-02-01,2025-02,33299108.420000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-03-01,2025-03,37173160.430000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-04-01,2025-04,33641056.670000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-05-01,2025-05,33358045.400000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-06-01,2025-06,35870827.210000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-07-01,2025-07,41263460.090000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-08-01,2025-08,42638856.410000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-09-01,2025-09,34850614.010000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-10-01,2025-10,34859723.420000,carbonmonitor-china_datas_2026-04-11.csv
Anhui,2025-11-01,2025-11,31723127.530000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-01-01,2019-01,13360503.230000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-02-01,2019-02,11251616.700000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-03-01,2019-03,10352085.720000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-04-01,2019-04,8065939.680000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-05-01,2019-05,7890492.300000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-06-01,2019-06,7753732.200000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-07-01,2019-07,8321145.000000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-08-01,2019-08,8428183.410000,carbonmonitor-china_datas_2026-04-11.csv
Beijing,2019-09-01,2019-09,8205409.900000,carbonmonitor-china_datas_2026-04-11.csv
